fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
T.J. O’Brien,"$6,000 ",2011,,,,,,,,,,,,,
Tafon Nchuwki,"$23,500 ",2020,,,,,,,,,,,,,
Thiago Moses,"$13,500 ",2018,,,,,,,,,,,,,
Tiago Trator,"$16,000 ",2014,,,,,,,,,,,,,
Tiago Trator,"$32,500 ",2015,,,,,,,,,,,,,
Tiago Trator,"$14,500 ",2016,,,,,,,,,,,,,
TJ O'Brien,"$3,000 ",2010,,,,,,,,,,,,,
Tony Martin,"$32,000 ",2014,,,,,,,,,,,,,
Tony Martin,"$10,000 ",2015,,,,,,,,,,,,,
Tony Martin,"$12,500 ",2016,,,,,,,,,,,,,
Tony Martin,"$63,000 ",2017,,,,,,,,,,,,,
Tor Treong,"$16,000 ",2014,,,,,,,,,,,,,
Ulka Sasaki,"$76,000 ",2014,,,,,,,,,,,,,
Ulka Sasaki,"$12,000 ",2015,,,,,,,,,,,,,
Ulka Sasaki,"$26,500 ",2016,,,,,,,,,,,,,
Ulka Sasaki,"$120,500 ",2017,,,,,,,,,,,,,
Ulka Sasaki,"$73,000 ",2018,,,,,,,,,,,,,
Valérie Létourneau,"$16,000 ",2014,,,,,,,,,,,,,
Vernon Ramos,"$12,500 ",2015,,,,,,,,,,,,,
Vincent Cachero,"$13,500 ",2020,,,,,,,,,,,,,
Vincente Luque,"$141,500 ",2016,,,,,,,,,,,,,
Vinny Malgalhaes,"$16,000 ",2012,,,,,,,,,,,,,
Vinny Malgalhaes,"$16,000 ",2013,,,,,,,,,,,,,
Wang Anying,"$24,000 ",2014,,,,,,,,,,,,,
Wang Sai,"$24,000 ",2014,,,,,,,,,,,,,
Weili Zhang,"$67,000 ",2018,,,,,,,,,,,,,
Weili Zhang,"$219,500 ",2019,,,,,,,,,,,,,
Wendell Oliveira,"$8,000 ",2014,,,,,,,,,,,,,
Wendell Oliveira,"$18,000 ",2015,,,,,,,,,,,,,
William ‘Patalino’ Macario,"$12,000 ",2014,,,,,,,,,,,,,
William ‘Patolino’ Macario,"$12,000 ",2015,,,,,,,,,,,,,
Xiaonan Yan,"$59,000 ",2018,,,,,,,,,,,,,
Xiaonan Yan,"$36,000 ",2019,,,,,,,,,,,,,
Yadong Song,"$109,000 ",2018,,,,,,,,,,,,,
Yashuhiro Urishitani,"$12,000 ",2012,,,,,,,,,,,,,
Yashuhiro Urishitani,"$12,000 ",2013,,,,,,,,,,,,,
Youseff Zalal,"$107,500 ",2020,,,,,,,,,,,,,
Yushin Okami,"$23,000 ",2011,,,,,,,,,,,,,
Zarah Fairn dos Santos,"$13,500 ",2019,,,,,,,,,,,,,
Zhang Tiequan,"$12,000 ",2011,,,,,,,,,,,,,
Zu Anyanwu,"$12,500 ",2017,,,,,,,,,,,,,
