fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
Costas Philippou,"$25,000 ",2015,,,,,,,,,,,,,
Cris Cyborg,"$820,000 ",2017,,,,,,,,,,,,,
Cris Cyborg,"$1,080,000 ",2018,,,,,,,,,,,,,
Cris Cyborg,"$145,000 ",2019,,,,,,,,,,,,,
Cristiane ‘Cyborg’ Justino,"$255,000 ",2016,,,,,,,,,,,,,
Da Un Jung,"$51,000 ",2019,,,,,,,,,,,,,
Da Un Jung,"$25,000 ",2020,,,,,,,,,,,,,
Damion Grabowski,"$41,000 ",2016,,,,,,,,,,,,,
Dan Kelly,"$60,500 ",2015,,,,,,,,,,,,,
Dan Kelly,"$67,500 ",2016,,,,,,,,,,,,,
Dan Kelly,"$34,000 ",2018,,,,,,,,,,,,,
Dan Spohn,"$8,000 ",2014,,,,,,,,,,,,,
Daniel Chavez,"$25,500 ",2020,,,,,,,,,,,,,
Daniel Comier,"$1,820,000 ",2018,,,,,,,,,,,,,
Daniel Hooker,"$26,000 ",2014,,,,,,,,,,,,,
Dave Branch,"$34,000 ",2010,,,,,,,,,,,,,
Dave Branch,"$6,000 ",2011,,,,,,,,,,,,,
Dmitri Smoliakov,"$12,500 ",2017,,,,,,,,,,,,,
Dmitriy Sosnovskiy,"$23,500 ",2018,,,,,,,,,,,,,
Dmitry Smoliakov,"$12,500 ",2016,,,,,,,,,,,,,
Don’Tale Mayes,"$13,500 ",2019,,,,,,,,,,,,,
Don’Tale Mayes,"$37,000 ",2020,,,,,,,,,,,,,
Dong Hyun Kim (Maestro),"$12,500 ",2015,,,,,,,,,,,,,
Dong Hyun Kim (Maestro),"$85,000 ",2016,,,,,,,,,,,,,
Dong Hyun Kim (Maestro),"$38,500 ",2017,,,,,,,,,,,,,
Dong Hyun Kim (Maestro),"$32,000 ",2018,,,,,,,,,,,,,
Dong Hyun Kim (Stun Gun),"$257,000 ",2015,,,,,,,,,,,,,
Dong Hyun Kim (Stun Gun),"$149,000 ",2016,,,,,,,,,,,,,
Dong Hyun Kim (Stun Gun),"$86,000 ",2017,,,,,,,,,,,,,
Dongi Yang,"$8,000 ",2010,,,,,,,,,,,,,
Dongi Yang,"$24,000 ",2011,,,,,,,,,,,,,
Doo Ho Choi,"$16,000 ",2014,,,,,,,,,,,,,
Doo Ho Choi,"$76,500 ",2015,,,,,,,,,,,,,
Doo Ho Choi,"$143,000 ",2016,,,,,,,,,,,,,
Doo Ho Choi,"$68,000 ",2018,,,,,,,,,,,,,
Doo Ho Choi,"$69,000 ",2019,,,,,,,,,,,,,
Dylan Andrew,"$10,000 ",2015,,,,,,,,,,,,,
Edimilson ‘Kevin’ Souza,"$66,000 ",2014,,,,,,,,,,,,,
Edimilson ‘Kevin’ Souza,"$70,000 ",2015,,,,,,,,,,,,,
Eliot Marshall,"$10,000 ",2010,,,,,,,,,,,,,
Eric Schafer,"$13,000 ",2010,,,,,,,,,,,,,
Felipe Oliveira,"$12,500 ",2016,,,,,,,,,,,,,
Frank Trevino,"$17,600 ",2014,,,,,,,,,,,,,
Gabriel Green,"$15,500 ",2020,,,,,,,,,,,,,
Garrett Whiteley,"$16,000 ",2014,,,,,,,,,,,,,
Glaico Franca,"$32,500 ",2015,,,,,,,,,,,,,
Glaico Franca,"$39,000 ",2016,,,,,,,,,,,,,
Godofredo ‘Pepey’ Castro,"$144,000 ",2014,,,,,,,,,,,,,
Godofredo ‘Pepey’ Castro,"$78,000 ",2015,,,,,,,,,,,,,
Godofrodo ‘Pepey’ Castro,"$8,000 ",2012,,,,,,,,,,,,,
Godofrodo ‘Pepey’ Castro,"$8,000 ",2013,,,,,,,,,,,,,
Grigorii Popov,"$27,000 ",2019,,,,,,,,,,,,,
Guido Canetti,"$58,000 ",2014,,,,,,,,,,,,,
Heather Jo Clark,"$16,000 ",2014,,,,,,,,,,,,,
Heather Jo Clark,"$29,000 ",2016,,,,,,,,,,,,,
Heili Alateng,"$101,000 ",2019,,,,,,,,,,,,,
Heili Alateng,"$15,500 ",2020,,,,,,,,,,,,,
Humberto Brown,"$8,000 ",2014,,,,,,,,,,,,,
Iuri Alcantara,"$12,000 ",2011,,,,,,,,,,,,,
J.C. Cottrell,"$12,500 ",2016,,,,,,,,,,,,,
J.C. Cottrell,"$12,500 ",2017,,,,,,,,,,,,,
Jairzinho Rozenstruick,"$168,500 ",2019,,,,,,,,,,,,,
James Bochniak,"$15,500 ",2018,,,,,,,,,,,,,
James Te-Huna,"$12,000 ",2010,,,,,,,,,,,,,
James Te-Huna,"$18,000 ",2011,,,,,,,,,,,,,
James Te-Huna,"$96,000 ",2012,,,,,,,,,,,,,
James Te-Huna,"$96,000 ",2013,,,,,,,,,,,,,
Jared Connonier,"$8,000 ",2015,,,,,,,,,,,,,
Jared Connonier,"$149,000 ",2016,,,,,,,,,,,,,
Jason Reinhardt,"$10,000 ",2011,,,,,,,,,,,,,
Jesse Bongfeldt,"$6,000 ",2010,,,,,,,,,,,,,
Jesse Bongfeldt,"$6,000 ",2011,,,,,,,,,,,,,
Jessica-Rose Clark,"$45,000 ",2018,,,,,,,,,,,,,
Jessica-Rose Clark,"$18,000 ",2019,,,,,,,,,,,,,
Jessica-Rose Clark,"$44,000 ",2020,,,,,,,,,,,,,
Ji Heon Kim,"$12,500 ",2017,,,,,,,,,,,,,
Jim Crute,"$23,500 ",2018,,,,,,,,,,,,,
Jim Crute,"$45,000 ",2019,,,,,,,,,,,,,
Joanne Calderwood,"$16,000 ",2014,,,,,,,,,,,,,
Joanne Calderwood,"$86,500 ",2015,,,,,,,,,,,,,
Joanne Calderwood,"$58,000 ",2016,,,,,,,,,,,,,
Joanne Calderwood,"$17,800 ",2017,,,,,,,,,,,,,
Joanne Calderwood,"$37,000 ",2018,,,,,,,,,,,,,
Joanne Calderwood,"$111,000 ",2019,,,,,,,,,,,,,
Joanne Calderwood,"$50,000 ",2020,,,,,,,,,,,,,
Joaquim Siva,"$30,500 ",2017,,,,,,,,,,,,,
Joe Gigliotti,"$25,000 ",2016,,,,,,,,,,,,,
John Teixera,"$6,400 ",2012,,,,,,,,,,,,,
John Teixera,"$6,400 ",2013,,,,,,,,,,,,,
John-Olav Eneimo,"$15,000 ",2012,,,,,,,,,,,,,
John-Olav Eneimo,"$15,000 ",2013,,,,,,,,,,,,,
Johny Eduardo,"$6,000 ",2011,,,,,,,,,,,,,
Jon delos Reyes,"$16,000 ",2014,,,,,,,,,,,,,
Jose Alberto Quinonez,"$26,500 ",2016,,,,,,,,,,,,,
