,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
66,Frank Mir,"$375,000 ",2010,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
67,Frank Mir,"$645,000 ",2011,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
68,Frank Mir,"$200,000 ",2012,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
69,Frank Mir,"$200,000 ",2013,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
70,Frank Mir,"$200,000 ",2014,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
71,Frank Mir,"$740,000 ",2015,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
72,Frank Mir,"$220,000 ",2016,244,Frank,Mir,"6' 3""",264,Southpaw,18,11,0,29,Frank Mir,m,t
73,Mauricio Rua,"$320,000 ",2010,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
74,Mauricio Rua,"$625,000 ",2011,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
75,Mauricio Rua,"$415,000 ",2012,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
76,Mauricio Rua,"$415,000 ",2013,183,Mauricio,Rua,"6' 1""",205,Orthodox,27,12,1,40,Mauricio Rua,m,t
77,Chris Leben,"$316,000 ",2010,52,Chris,Leben,"5' 11""",185,Southpaw,22,11,0,33,Chris Leben,m,f
78,Chris Leben,"$184,000 ",2011,52,Chris,Leben,"5' 11""",185,Southpaw,22,11,0,33,Chris Leben,m,f
79,Chris Leben,"$51,000 ",2012,52,Chris,Leben,"5' 11""",185,Southpaw,22,11,0,33,Chris Leben,m,f
80,Chris Leben,"$51,000 ",2013,52,Chris,Leben,"5' 11""",185,Southpaw,22,11,0,33,Chris Leben,m,f
81,Matt Serra,"$300,000 ",2010,149,Matt,Serra,"5' 6""",170,Orthodox,11,7,0,18,Matt Serra,m,t
82,Josh Koscheck,"$287,000 ",2010,107,Josh,Koscheck,"5' 10""",170,Orthodox,17,11,0,28,Josh Koscheck,m,f
83,Josh Koscheck,"$209,000 ",2011,107,Josh,Koscheck,"5' 10""",170,Orthodox,17,11,0,28,Josh Koscheck,m,f
84,Josh Koscheck,"$224,000 ",2012,107,Josh,Koscheck,"5' 10""",170,Orthodox,17,11,0,28,Josh Koscheck,m,f
85,Josh Koscheck,"$224,000 ",2013,107,Josh,Koscheck,"5' 10""",170,Orthodox,17,11,0,28,Josh Koscheck,m,f
86,Josh Koscheck,"$156,000 ",2015,107,Josh,Koscheck,"5' 10""",170,Orthodox,17,11,0,28,Josh Koscheck,m,f
87,Antonio Rogerio Nogueira,"$275,000 ",2010,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
88,Antonio Rogerio Nogueira,"$230,000 ",2011,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
89,Antonio Rogerio Nogueira,"$114,000 ",2014,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
90,Antonio Rogerio Nogueira,"$169,000 ",2015,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
91,Antonio Rogerio Nogueira,"$324,000 ",2016,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
92,Antonio Rogerio Nogueira,"$257,000 ",2018,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
93,Antonio Rogerio Nogueira,"$138,000 ",2019,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
94,Antonio Rogerio Nogueira,"$138,000 ",2020,79,Rogerio,Nogueira,"6' 2""",205,Southpaw,23,10,0,33,Antonio Rogerio Nogueira,m,f
95,Junior dos Santos,"$260,000 ",2010,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
96,Junior dos Santos,"$485,000 ",2011,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
97,Junior dos Santos,"$600,000 ",2012,131,Junior,Dos Santos,"6' 4""",238,Orthodox,21,9,0,30,Junior dos Santos,m,f
